,change in diversity_index,2019 diversity_index,neighborhood,change in poverty_prop,2019 poverty_prop,change in white_prop,2019 white_prop,change in median_household_inc,2019 median_household_inc,change in singleunitbuilding_price,2019 singleunitbuilding_price,change in asian_prop,2019 asian_prop,change in black_prop,2019 black_prop,change in hispanic_prop,2019 hispanic_prop
0,2.9850746268656576,0.69,rockaway,-19.196428571428577,0.181,-9.776536312849156,0.323,-0.5674002751031637,57830.0,12.164218932221146,567450,170.00000000000003,0.027,-1.3192612137203177,0.374,10.638297872340436,0.26
0,30.769230769230766,0.51,sheepshead bay,-15.328467153284675,0.116,-12.156862745098035,0.672,38.58170967175706,78950.0,37.094888614665194,844340,33.33333333333332,0.184,80.95238095238093,0.038,1.5151515151515165,0.067
0,13.636363636363635,0.5,soho,-38.38383838383839,0.061,-6.557377049180318,0.684,37.440490599532,170330.0,33.41188647237561,11033710,-5.479452054794507,0.138,41.66666666666667,0.034,103.57142857142858,0.114
0,-1.7241379310344844,0.57,soundview,4.724409448818902,0.266,16.666666666666664,0.028,-3.083053691275168,46210.0,23.509722257710095,483380,-1.408450704225334,0.07,-8.437500000000007,0.293,3.380782918149449,0.581
0,18.749999999999993,0.57,south beach,-25.773195876288668,0.072,-12.086330935251794,0.611,3.4044593622632466,86260.0,21.73466304019341,604230,47.692307692307686,0.192,-7.1428571428571495,0.039,12.00000000000001,0.14
0,43.90243902439025,0.59,south crown heights,-30.078125000000007,0.179,69.79865771812082,0.253,48.87425658453696,70090.0,83.03722164161105,1366080,16.666666666666682,0.021,-23.936170212765965,0.572,87.69230769230768,0.122
0,-4.8192771084337265,0.79,south ozone park,-35.344827586206904,0.075,-6.2992125984252025,0.238,29.57705253914825,88540.0,43.491465567981166,609480,40.425531914893625,0.264,13.846153846153836,0.148,8.733624454148467,0.249
0,2.85714285714286,0.72,st. george,-27.374301675977648,0.13,-8.232445520581107,0.379,9.706985140952645,79000.0,24.793388429752067,514910,1.234567901234569,0.082,0.9216589861751161,0.219,8.455882352941163,0.295
0,2.85714285714286,0.72,stapleton,-27.374301675977648,0.13,-8.232445520581107,0.379,9.706985140952645,79000.0,24.793388429752067,514910,1.234567901234569,0.082,0.9216589861751161,0.219,8.455882352941163,0.295
0,1.7857142857142672,0.57,starrett city,-35.27777777777777,0.233,-10.63829787234042,0.042,26.15505090054816,48330.0,44.26679632754627,504400,37.93103448275862,0.04,1.2797074954296173,0.554,-5.420054200542011,0.349
0,8.163265306122456,0.53,stuyvesant town,-7.142857142857148,0.065,-4.617604617604606,0.661,46.81678422861277,162350.0,50.09042266829273,6830390,18.320610687022896,0.155,25.925925925925934,0.068,5.747126436781615,0.092
0,1.449275362318842,0.7,sunnyside,-24.59016393442623,0.092,2.9197080291970625,0.282,34.24376381433533,85030.0,44.96910418663054,877440,6.609195402298856,0.371,13.333333333333346,0.017,-14.076246334310863,0.293
0,1.4705882352941024,0.69,sunset park,-32.209737827715365,0.181,-0.8368200836820092,0.237,45.461962064042424,71320.0,97.18042096166903,1597260,3.88059701492536,0.348,95.0,0.039,-8.247422680412377,0.356
0,-1.449275362318826,0.68,throgs neck,-21.34146341463415,0.129,-26.259946949602114,0.278,11.900191938579654,64130.0,16.56489678632551,551690,89.99999999999999,0.038,-20.000000000000007,0.22,41.157556270096464,0.439
0,10.344827586206906,0.32,tottenville,-41.42857142857143,0.041,-1.9184652278177476,0.818,14.527845036319611,113520.0,14.696743234738829,583210,81.8181818181818,0.06,-38.46153846153846,0.008,-3.603603603603607,0.107
0,8.163265306122456,0.53,turtle bay,-7.142857142857148,0.065,-4.617604617604606,0.661,46.81678422861277,162350.0,50.09042266829273,6830390,18.320610687022896,0.155,25.925925925925934,0.068,5.747126436781615,0.092
0,18.42105263157895,0.45,upper east side,-14.705882352941178,0.058,-6.572164948453614,0.725,21.765771985846207,141090.0,-7.975358050228208,10232450,42.3913043478261,0.131,-23.333333333333332,0.023,10.975609756097553,0.091
0,0.0,0.5,upper west side,-16.34615384615385,0.087,0.8810572687224677,0.687,31.560153817982055,143690.0,3.036926748397588,6830390,31.16883116883118,0.101,-28.78787878787879,0.047,-8.49673202614378,0.14
0,0.0,0.0,washington heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,-6.250000000000005,0.6,whitestone,3.4965034965035002,0.148,-19.0,0.243,-8.698402656966628,57730.0,32.087988826815646,945750,12.350597609561742,0.564,-14.999999999999996,0.017,4.0000000000000036,0.156
0,5.7692307692307745,0.55,williamsbridge,-19.339622641509425,0.171,-24.999999999999993,0.057,18.587221285366308,63290.0,22.464594259076286,483380,-11.111111111111102,0.016,-5.937500000000005,0.602,12.79999999999999,0.282
0,3.703703703703707,0.56,williamsburg,-24.150943396226417,0.201,0.9884678747940702,0.613,103.22707595434868,103280.0,101.44842863750334,1655060,26.923076923076934,0.066,73.07692307692308,0.045,-16.666666666666664,0.25
0,18.749999999999993,0.57,willowbrook,-25.773195876288668,0.072,-12.086330935251794,0.611,3.4044593622632466,86260.0,21.73466304019341,604230,47.692307692307686,0.192,-7.1428571428571495,0.039,12.00000000000001,0.14
0,0.0,0.74,woodhaven,-22.900763358778626,0.101,-9.677419354838705,0.168,16.623414071510958,80890.0,52.50405864121611,619990,21.052631578947373,0.276,-25.531914893617014,0.07,-4.1362530413625205,0.394
0,1.449275362318842,0.7,woodside,-24.59016393442623,0.092,2.9197080291970625,0.282,34.24376381433533,85030.0,44.96910418663054,877440,6.609195402298856,0.371,13.333333333333346,0.017,-14.076246334310863,0.293
